question,answer,keywords
"One mole of a monatomic ideal gas undergoes the cyclic process J K L M J, as shown in the P -T diagram. JEE Adavanced 2024 Paper-1 34 Matc h the quantities mentioned in List -I with their values in List -II and choose the correct option. [R is the gas constant .] List-I List-II (P) Work done in the complete cyclic process (1) 0 04 ln2 RT RT (Q) Change in the internal energy of the gas in the process JK (2) 0 (R) Heat given to the gas in the process KL (3) 03RT (S) Change in the internal energ...","From M J, isothermal ln2 W nRT 0ln2RT 0U From J K, isobaric 0 03 W nR T T 02 W RT vU nC T 0 032 32RT RT From K L, isothermal 03 ln2 W nR T 03 ln2 W RT JEE Adavanced 2024 Paper-1 35 0U 03 ln2 Q RT From L M, isobaric 0 03 W nR T T 02 W RT vU nC T 0322Rn T 03RT For P : net 0 0 0 0ln2 2 3 ln2 2 W RT RT RT RT 02 ln2RT P 4 for Q 3 for R 5 for S 2",thermodynamics competitive_exam heat energy atom jee
"Four identical thin, square metal sheets, S1, S2, S3, and S4, each of side a are kept parallel to each other with equal distance d(<<a) between them, as shown in the figure. Let C0 = 0a2/d, where 0 is the permittivity of free space. Match the quantities mentioned in List -I with their values in List -II and choose the correct option . JEE Adavanced 2024 Paper-1 36 List-I List-II (P) The capacitance between S1 and S4, with S2 and S3 not connected, is (1) 3C0 (Q) The capacitance between S1 and ...",All are in series 0 eq3CC P (3) JEE Adavanced 2024 Paper-1 37 0 eq2CC Q (2) For R eq2 3CC R (4) For S eq 0 3 C C S (1),jee competitive_exam
"Concentration of H2SO4 and Na2SO4 in a solution is 1 M and 1.8 × 10–2 M, respectively. Molar solubility of PbSO4 in the same solution is X × 10–Y M (expressed in scientific notation). The value of Y is _________. [Given: Solubility product of PbSO4 (Ksp) = 1.6 × 10–8 . For H2SO4, Ka1 is very large and Ka2 = 1.2 × 10–2 ]","H2SO4 HSO H 4    1M - - - 1M 1M Na2SO4  2Na+ + 2 4 SO  1.8 × 10–2 M - - 3.6×10–2 M 1.8× 10–2 M HSO4  H+ + SO4 2– ; 2 Ka = 1.2 × 10–2 M 1M 1M 1.8× 10–2 M Since QC > KC it will move in backward direction. 1 + x 1 – x 1.8 × 10–2 – x 2 Ka = 1.2 × 10–2 =      2 1 x 1.8 10 x 1 x     Since x is very small (1 + x) – 1   2 2 x 1.8 10 1.2 10 M         2 2 2 4 SO 1.8 10 0.6 10 M            = 1.2 × 10–2 M PbSO4  Pb2+ + 2 4 SO  s - 1.2×10–2 M - s (s + 1.2 × 10–2 ) Ksp = s (s + 1.2 × 10–2 ) = 1.6 × 10–8 (PbSO4) Here, (s + 1.2 × 10–2 ) 1.2 × 10–2 (since 's' is very small) s(1.2×10–2 ) = 1.6 × 10–8  s = 1.6 6 Y 10 M X 10 M 1.2        Y = 6",ratio solubility concentration
An aqueous solution is prepared by dissolving 0.1 mol of an ionic salt in 1.8 kg of water at 35 ºC. The salt remains 90% dissociated in the solution. The vapour pressure of the solution is 59.724 mm of Hg. Vapor pressure of water at 35 ºC is 60.000 mm of Hg. The number of ions present per formula unit of the ionic salt is _______.,0.1 mole ionic salt in 1.8 kg water at 35° C Vapour pressure of solution = 59.724 mm of Hg Vapour pressure of pure H2O = 60.000 mm of Hg Let the number of ions present per formula unit of the ionic salt be 'x' Ax  xA (Salt) (Ions) 0.1 - 0.1 (1 – 0.9) (0.1 × 0.9) x Total moles of non-volatile particles = 0.01 + 0.09 x in 1.8 kg water Moles of water = 3 1.8 10 100 molesP P moles of non volatileparticles P moles of water     60.000 59.724 0.01 0.09x 59.724 100    (0.276) × 100 = 0.59274 + (0.59274 × 9)x 27.6 – 0.59274 = (0.59274 × 9)x  x 27 5 0.6 9  18   Relative lowering of vapour pressure P Ps P   = Mole fraction of non – volatile particles,formula pressure ionic
"Consider the strong electrolytes ZmXn, UmYp and VmXn . Limiting molar conductivity ( 0 ) of UmYp and VmXn are 250 and 440 S cm2 mol–1 , respectively. The value of (m + n + p) is _______. Given: Ion Z n+ U p+ V n+ X m– Y m–  0 (S cm2 mol–1 ) 50.0 25.0 100.0 80.0 100.0  0 is the limiting molar conductivity of ions The plot of molar conductivity () of ZmXn vs c1/2 is given below.",        25m + 100p = 250 m + 4p = 10 ......(1)   m n n m V X V X m n 440           100m + 80n = 440 5m + 4n = 22 ......(2)From the extrapolation of curve     Z X 340 m n n m m n 340 Z X         50m + 80n = 340 5m + 8n = 34 .......(3) (3) — (2)  4n = 12  n = 3 Putting in (2) we get m = 2 Putting in (1) we get p = 2 m + n + p = 2 + 3 + 2 = 7,plot
The reaction of Xe and O2F2 gives a Xe compound P. The number of moles of HF produced by the complete hydrolysis of 1 mol of P is _______.,Xe + 2O2F2 XeF4 + 2O One mole of XeF4 gives 4 moles of HF on hydrolysis.,compound reaction
Thermal decomposition of AgNO3 produces two paramagnetic gases. The total number of electrons present in the antibonding molecular orbitals of the gas that has the higher number of unpaired electrons is _______.,– Both NO2 & O2 are paramagnetic – NO2 is odd electron molecule with one unpaired electron –O2 has two unpaired electrons Total number of antibonding electrons = 6,electron orbit bond molecule atomic_structure magnetic
"To check the principle of multiple proportions, a series of pure binary compounds (PmQn) were analyzed and their composition is tabulated below. The correct option(s) is(are) Compound Weight % of P Weight % of Q 1 50 50 2 44.4 55.6 3 40 60 (A) If empirical formula of compound 3 is P3Q4, then the empirical formula of compound 2 is P3Q5. (B) If empirical formula of compound 3 is P3Q2 and atomic weight of element P is 20, then the atomic weight of Q is 45. (C) If empirical formula of compound 2 ...","Compound Weight % of P Weight % of Q 1 50 50 2 44.4 55.6 3 40 60 For option (A) Let atomic mass of P be MP and atomic mass of Q be MQ Molar ratio of atoms P : Q in compound 3 is P Q 40 60 : 3: 4 M M  Q P Q p 2M 3 9M 8M 3M 4    Molar ratio of atoms P : Q in compound 2 is P Q 44.4 55.6 : M M = 44.4 MQ : 55.6 MP = 44.4 MQ : 55.6 × 8MQ 9 = 44.4 : 55.6 × 8Molar Ratio of atoms P : Q in compound 3 is P Q 40 60 : 3:2 M M  Q P Q P 2M 3 9M 4M 3M 2    If MP = 20 Q 9 20 M 45 4     Option (B) is correct For option (C) Molar ratio of atoms P : Q in compound 2 is Q P P Q 44.4 55.6 : 44.4M :55.6 M 1:1 M M   P Q M 44.4 M 55.6   Molar ratio of atoms P : Q in compound 1 is Q P P Q 50 50 : M :M M M  = 55.6 : 44.4 5 : 4 Hence, empirical formula of compound 1 is P5Q4 Hence, option (C) is correct For option (D) Molar ratio of atoms P : Q in compound 1 is Q P P Q 50 50 : M :M M M  = 35 : 70 = 1 : 2 Hence, empirical formula of compound 1 is PQ2 Hence, option (D) is incorrect 9 = 9 : 10  E...",formula ratio atom compound proportion mass
"The correct option(s) about entropy (S) is(are) [R = gas constant, F = Faraday constant, T = Temperature] (A) For the reaction, M(s) + 2H+ (aq)  H2(g) + M2+(aq), if cell dE R dT F  , then the entropy change of the reaction is R (assume that entropy and internal energy changes are temperature independent). (B) The cell reaction, Pt(s) | H2(g, 1bar) | H+ (aq, 0.01M) || H+ (aq, 0.1M) | H2(g, 1bar) | Pt(s), is an entropy driven process. (C) For racemization of an optically active compound, S >...","G = H – TS G = H + T p d G dT        –nF dEcell dT       =–S   dEcell S R given dT nF F     S = nR For the reaction, M(g) + 2H (aq)  H2(g) + M2 (aq) n = 2  S = 2R Hence, option (A) is incorrect For the reaction, Pt(s) |H2(g), 1 bar| H aq(0.01M)|| H (aq, 0.1M) | H2(g, 1 bar)| Pt(s) Ecell = cell 0.0591 0.01 E log 0.0591V 1 0.1    Ecell is positive G < 0 and S > 0 (H = 0 for concentration cells) Hence, option (B) is correct Racemization of an optically active compound is a spontaneous process. Here, H = 0 (similar type of bonds are present in enantiomers) S > 0 Hence, option (C) is correct.     2 2 2 2 6 3 Ni H O 3 en Ni en 6H O              is a spontaneous process more stable complex is formed S > 0 Hence, option (D) is correct. 11. The compound(s) which react(s) with NH3 to give boron nitride (BN) is(are) (A) B (B) B2H6 (C) B2O3 (D) HBF4 Ans. (B,C) Sol. (A) Boron produced BN with ammonia but Boron is element not compo...",bond ratio concentration energy reaction complex compound temperature
The correct option(s) related to the extraction of iron from its ore in the blast furnace operating in the temperature range 900 – 1500 K is(are) (A) Limestone is used to remove silicate impurity. (B) Pig iron obtained from blast furnace contains about 4% carbon. (C) Coke (C) converts CO2 to CO. (D) Exhaust gases consist of NO2 and CO.,(A) CaO + SiO2  CaSiO3 (in the temperature range 900 – 1500 K) (B) In fusion zone molten iron becomes heavy by absorbing elemental impurities and produces Pig iron. (in the temperature range 900 – 1500 K) (C) C + CO2  2CO (in the temperature range 900 – 1500 K) (D) Exhaust gases does not contain NO2.,temperature carbon
"Among the following, the correct statement(s) about polymers is(are) (A) The polymerization of chloroprene gives natural rubber. (B) Teflon is prepared from tetrafluoroethene by heating it with persulphate catalyst at high pressures. (C) PVC are thermoplastic polymers. (D) Ethene at 350-570 K temperature and 1000-2000 atm pressure in the presence of a peroxide initiator yields high density polythene.",(a) The polymerisation of neoprene gives natural rubber. (b) is correct statement (c) is correct statement (d) Ethene at 350-570 K temperature and 1000-2000 atm pressure in the pressure of a peroxide initiator yields low density polythene,thermodynamics pressure heat polymer ph catalyst temperature
Atom X occupies the fcc lattice sites as well as alternate tetrahedral voids of the same lattice. The packing efficiency (in %) of the resultant solid is closest to (A) 25 (B) 35 (C) 55 (D) 75,"Atom 'X' occupies FCC lattice points as well as alternate tetrahedral voids of the same lattice   1 th 4 distance of body diagonal = X 3a 2r 4  8rX a 3   Number of atoms of X per unit cell = 4 + 4 = 8 (FCC lattice points) (Alternate tetrahedral voids) % packing efficiency = Volume occupied by X Volume of cubic unit cell ×100 =  3 X 3 4 8 r 3 a   ×100 =  3 X 3 X 4 8 r 3 8r 3         ×100 3 4 1 8 3 3 100 3 8             = 3 100 16   = 34% Hence, option (B) is the most appropriate option",volume atom
"The reaction of HClO3 with HCl gives a paramagnetic gas, which upon reaction with O3 produces (A) Cl2O (B) ClO2 (C) Cl2O6 (D) Cl2O7",(C),reaction magnetic
The reaction Pb(NO3)2 and NaCl in water produces a precipitate that dissolves upon the addition of HCl of appropriate concentration. The dissolution of the precipitate is due to the formation of (A) PbCl2 (B) PbCl4 (C) [PbCl4] 2– (D) [PbCl6] 2–,(C),ratio reaction concentration
"Which ordering of compounds is according to the decreasing order of the oxidation state of nitrogen? (A) HNO3 , NO, NH4Cl, N2 (B) HNO3 , NO, N2 , NH4Cl (C) HNO3 , NH4Cl, NO, N2 (D) NO, HNO3 , NH4Cl, N2","HNO3 = + 5 NO = +2 NH4Cl = ñ3 N2 = 0 So correct order will be HNO3 , NO, N2 , NH4Cl.",compound oxidation
The kinetic energy of an electron in the second Bohr orbit of a hydrogen atom is [a0 is Bohr radius] : (A) 2 0 2 2 4 ma h  (B) 2 0 2 2 16 ma h  (C) 2 0 2 2 32 ma h  (D) 2 0 2 2 64 ma h,"mv (4a0) =  h so, v = 4m a0 h  so KE = 2 1 mv 2 = 2 1 m. 2 0 2 2 2 16m a h  = 2 0 2 2 32m a h ",electron orbit energy hydrogen atom atomic_structure kinetic bohr
"For one mole of a van der Waals gas when b = 0 and T = 300 K, the PV vs.1/V plot is shown below. The value of the van der Waals constant a (atm.liter 2 molñ2) :",PV + a/V = RT PV = RTñ a(v) y = RT ñ a(x) So slope = a = 3 2 21.6 20.1   = 1 1.5 = 1.5,plot
"In allene (C3H4), the type(s) of hybridisation of the carbon atoms is (are) : (A) sp and sp 3 (B) sp and sp 2 (C) only sp 3 (D) sp 2 and sp 3",b,carbon atom
"As per IUPAC nomenclature, the name of the complex [Co(H2O) 4(NH3) 2 ]Cl3 is : (A) Tetraaquadiaminecobalt (III) chloride (B) Tetraaquadiamminecobalt (III) chloride (C) Diaminetetraaquacoblat (III) chloride (D) Diamminetetraaquacobalt (III) chloride",Diamminetetraaquacobalt (III) chloride.,complex
The carboxyl functional group (ñ COOH) is present in (A) picric acid (B) barbituric acid (C) ascorbic acid (D) aspirin,aspirin,acid
The colour of light absorbed by an aqueous solution of CuSO4 is : (A) organge-red (B) blue-green (C) yellow (D) violet,CuSO4 will be absorbing orange-red colour & hence will be of blue colour.,physics chemistry problem solving
"Consider the reaction A ⇌ B at 1000 K. At time t', the temperature of the system was increased to 2000 K and the system was allowed to reach equilibrium. Throughout this experiment, the partial pressure of A was maintained at 1 bar. Given below is the plot of the partial pressure of B with time. What is the ratio of the standard Gibbs energy of the reaction at 1000 K to that at 2000 K?",0.25,pressure plot ratio equilibrium chemical_equilibrium energy reaction temperature
"For the following reaction, the equilibrium constant Kc at 298 K is 1.6 × 10 17 .When equal volumes of 0.06 M Fe(aq) 2+ and 0.2 M S(aq) 2- solutions are mixed, the equilibrium concentration of Fe2+(aq) is found to be Y × 10 -17 M. The value of Y is.",Kc = 1 / (x) [0.07] = 1.6 × 10 17 ∴ [Fe 2+ ] = 8.928 × 10 -17 = y × 10 -17 ∴ y = 8.93 or 8.92,ratio concentration equilibrium chemical_equilibrium reaction volume
"The % yield of ammonia as a function of time in the reaction: N2 (g) + 3H2 (g) ⇌ 2NH3 (g), ΔH < 0 at (P, T1 ) is given below.","Initially on increasing temperature, the rate of reaction increases, so % yield also increases with time. But at equilibrium % yield at high temperature (T2) would be less than at T1 as the reaction is exothermic so the graph is",ph graph equilibrium chemical_equilibrium reaction temperature
"The thermal dissociation of equilibrium of CaCO3 (s) is studied under different conditions: CaCO3 (g) ⇌ CaCO(g) + CO2 (g) For this equilibrium, the correct statement(s) is/are A. △ H is dependent on T B. K is independent of the initial amount of CaCO3 C. K is dependent on the pressure of CO2 at a given T D. △ H is independent of the catalyst, if any","A. ΔH = Cp(rxn) ΔT Hence, enthalpy depends upon temperature B. CaCO3 (s) ⇌ CaO(s) + CO2 (g) Kp = PcO2 C. Keq , depends only on temperature and not on Pressure. D. Enthalpy of reaction is independent of the catalyst. Catalyst generally changes activation energy",pressure equilibrium chemical_equilibrium energy reaction catalyst temperature
"Solubility product constant (Ksp) of salts of type MX, MX2 and M3X at temperature 'T' are 4.0 x 10 -8 , 3.2 x 10 -14 and 2.7 x 10 -15 , respectively. Solubilities (mol, dm) of the salt at temperature 'T' are in the order A. MX > MX2 > M3X B. M3X > MX2 > MXC. MX2 > M3X > MX D. MX > M3X > MX2",MX: Ksp = S 2 = 4 × 10 -8 ⇒ S = 2 × 10 -4 MX2 : Ksp = 4S 3 = 3.2 × 10 -14 ⇒ S = 2 × 10 -5 M3X: Ksp = 27S 4 = 2.7 × 10 -15 ⇒ S = 10 -4 Order of solubility is MX > M3X > MX2,solubility temperature
"In one liter saturated solution of AgCl [Ksp = 1.6 x 10 -10 ], 0.1 mol of CuCl [Ksp = 1.0 x 10 -10 ] is added. The resultant concentration of Ag+ in the solution is 1.6 × 10 -x . The value of 'x' is","It is a case of simultaneous solubility of salts with a common ion. Here, the solubility product of CuCl is much greater than that of AgCl, it can be assumed that Cl - in solution comes mainly from CuCl. [Cl - ] = √Ksp (CuCl) = 10 -3 M Now, for AgCl, Ksp = 1.6 × 10 -10 = [Ag + ][Cl - ] =[Ag + ] × 10 -3 ⇒ [Ag + ] = 1.6 × 10 -7 Hence, x = 7",ratio solubility concentration
"Each question contains STATEMENT-1 (Assertion) and STATEMENT-2 (Reason). Examine the statement carefully and mark the correct answer according to the instructions given below: Statement 1: For every chemical reaction at equilibrium, the standard Gibbs energy of the reaction is zero. Statement 2: At constant temperature and pressure, chemical reactions are spontaneous in the direction of decreasing Gibbs energy","The standard Gibb's energy for a reaction is given by ΔG o . At equilibrium, ΔG = 0 whereas ΔG o for a reaction may or may not be zero. For a spontaneous process, Gibb's energy for a reaction is always negative, ΔG < 0 Hence, if (1) is incorrect, but (2) is correct",pressure equilibrium chemical_equilibrium energy reaction temperature
"The solubility product of Ag2C2O4 at 25°C is 1.29 x 10 -11 mol 3L -3 . A solution of K2C2O4 containing 0.520 moles in 500mL water is shaken at 25°C with an excess of Ag2CO3 till the following equilibrium is reached; Ag2CO3 + K2C2O4 ⇋ Ag2C2O4 + K2CO3 At equilibrium, the solution contains 0.0358 moles of K2CO3 . Assuming the degree of dissociation of K2C2O4 and K2CO3 to be equal, calculate the solubility product of Ag2CO3","Initially, the concentration of oxalate ion was 0.1520 moles. And at equilibrium the amount of carbonate ion formed = 0.1520 − 0.0358 = 0.1162 The concentration of potassium oxalate remaining after the reaction is 0.1162 / 0.5 = 0.2324M. The concentration of potassium carbonate (or carbonate ions) at equilibrium = 0.0358 / 0.5 = 0.0716M. For silver oxalate, Ksp = [Ag + ] 2 [C2O4 2- Hence, 1.29 × 10 -11 = [Ag + ] 2 × 0.2324. [Ag + ] 2 = 1.29 × 10 -11 / 0.2324. The expression for the solubility product of silver carbonate is Ksp = [Ag + ] 2 [CO3 2- ] = 1.29×10 -11 / 0.2324 × 0.0716 = 3.974 × 10 -12 mol 3 .lit -3 .",calculate carbon ratio concentration equilibrium chemical_equilibrium solubility reaction
A sample of AgCl was treated with 10 mL of 1.7 M Na2CO3 solution to give Ag2CO3 . The remaining solution contained 0.0026 g of Cl0 - per litre. Calculate the solubility product of AgCl. Ksp(Ag2CO3 ) = 8.2 × 10 12 .,"The double displacement reaction is: 2AgCl + Na2CO3 → Ag2CO3 + 2NaCl Ksp (Ag2CO3 ) = 8.2 × 10 -12 (given) = [Ag + ] 2 [CO3 2- ] Sodium Carbonate will completely dissociate into Na + and CO3 2- ions. [CO3 2- ] = [Na2CO3 ] = 1.5M From this , we can arrive at [Ag + ] = (Ksp (Ag2CO3 )[CO3 2- ])0.5 = 2.34 × 10 -6 M Amount of Cl - remaining = 00026 g = 0.002635.5 molL−1 = 7.33 × 10 -5 M We need to figure out Ksp (AgCl) = [Ag + ][Cl - ] = 2.34 × 10 -6 M × 7.33 × 10 -5 M = 1.71 × 10 -10",calculate solubility carbon reaction
. For the reaction; PCl5 (g) ⇋ PCl3 (g) + Cl2 (g) The forward reaction at constant temperature is favoured by: A. Introducing an inert gas at constant volume B. Introducing chlorine gas at constant volume C. Introducing an inert gas at constant pressure D. Increasing the volume of the container E. Introducing PCl5 at constant volume,"C. Adding inert gas at constant pressure increases the overall volume, reduces the concentration of all reactants, changing the partial pressure. The system tries to undo that change and to increase the concentration goes in the direction where moles increase, which is the forward direction in this case. D. This has a similar effect as adding an inert gas at constant volume. The concentration decreases, decreasing the partial pressure, the reaction moves forward to increase the number of moles. E. Also adding PCI5 (g )at constant volume will favour forward reaction because PCI5 (g ) is a reactant.",pressure ratio concentration reaction volume temperature
The Ksp of Ag2CrO4 is 1.1  10–12 at 298K. The solubility (in mol/L) of Ag2CrO4 in a 0.1M AgNO3 solution is (A) 1.1  10–11 (B) 1.1  10–10 (C) 1.1  10–12 (D) 1.1  10–9,K 1.1 10 Ag CrO sp 4                   2 12 1.1 10 0.1 s    10 s 1.1 10,solubility
"In the nuclear transmutation 8 9 4 4 Be X Be Y    (X, Y) is (are) (A) (, n) (B) (p, D) (C) (n, D) (D) (, p)",(A) and (B) are correct,physics chemistry problem solving
The carbon–based reduction method is NOT used for the extraction of (A) tin from SnO2 (B) iron from Fe2O3 (C) aluminium from Al2O3 (D) magnesium from MgCO3.CaCO,Fe2O3 and SnO2 undergoes C reduction. Hence (C) and (D) are correct,carbon reduction base
"The thermal dissociation equilibrium of CaCO3(s) is studied under different conditions.       CaCO s CaO s CO g 3  2   For this equilibrium, the correct statement(s) is(are) (A) H is dependent on T (B) K is independent of the initial amount of CaCO3 (C) K is dependent on the pressure of CO2 at a given T (D) H is independent of the catalyst, if any","For the equilibrium       CaCO s CaO S CO g 3  2   . The equilibrium constant (K) is independent of initial amount of CaCO3 where as at a given temperature is independent of pressure of CO2. ∆H is independent of catalyst and it depends on temperature. Hence (A), (B) and (D) are correct.",pressure chemical_equilibrium equilibrium catalyst temperature
"The succeeding operations that enable this transformation of states are (A) Heating, cooling, heating, cooling (B) Cooling, heating, cooling, heating (C) Heating, cooling, cooling, heating (D) Cooling, heating, heating, cooling",(C),ratio heat thermodynamics
The pair of isochoric processes among the transformation of states is (A) K to L and L to M (B) L to M and N to K (C) L to M and M to N (D) M to N and N to K,(B),physics chemistry problem solving
The correct option(s) regarding the complex [Co(en)(NH3)3(H2O)]3+ (en = H2NCH2CH2NH2) is (are) (A) It has two geometrical isomers (B) It will have three geometrical isomers if bidentate 'en' is replaced by two cyanide ligands (C) It is paramagnetic (D) It absorbs light at longer wavelength as compared to [Co(en)NH3)4] 3+,Compound [Co(CN)2(NH3)3(H2O)]+ will have three geometrical isomers,wavelength isomer complex compound wave magnetic
The correct option(s) to distinguish nitrate salts of Mn2+ and Cu2+ taken separately is (are) (A) Mn2+ show the characteristic green colour in the flame test (B) Only Cu2+ show the formation of precipitate by passing H2S in acidic medium (C) Only Mn2+ show the formation of precipitate by passing H2S in faintly basic medium (D) Cu2+/Cu has higher reduction potential than Mn2+/Mn (measured under similar conditions),"(A) Cu2+ shows characteristic green colour in the flame test. (B) Only Cu2+ can give precipitate in acidic medium on passing H2S. (C) Both Cu2+ and Mn2+ show the formation of precipitate by passing H2S in faintly basic medium. (D)      Cu /Cu Mn /Mn E 2 E 2 , as per electrochemical series.",reduction electrochemical potential acid
